3.102198828125000000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
2.252340429687500000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
1.889620898437500000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
1.451548339843750000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
1.094435351562500000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
9.065001953125000000e+03,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
9.663650390625000000e+03,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
1.268853320312500000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
1.989015429687500000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
2.583125390625000000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
3.389005859375000000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
4.412244921875000000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
5.981042187500000000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
7.943320312500000000e+04,3.333333248000000000e+09,3.333333248000000000e+09,1.000000000000000000e+06,1.000000000000000000e+06
1.073592734375000000e+05,3.333333248000000000e+09,3.333333248000000000e+09,9.056461250000000000e+05,1.000000000000000000e+06
1.356721875000000000e+05,3.333333248000000000e+09,3.333333248000000000e+09,4.344396875000000000e+05,5.403837500000000000e+05
1.503942656250000000e+05,3.333333248000000000e+09,3.333333248000000000e+09,2.078437812500000000e+05,2.152484531250000000e+05
1.285502890625000000e+05,3.333333248000000000e+09,1.106142848000000000e+09,1.046429687500000000e+05,1.024136250000000000e+05
9.049185937500000000e+04,3.333333248000000000e+09,7.237048320000000000e+08,5.962430859375000000e+04,6.847441406250000000e+04
7.279735156250000000e+04,3.333333248000000000e+09,3.840877760000000000e+08,4.194016406250000000e+04,5.070536718750000000e+04
6.626728906250000000e+04,3.333333248000000000e+09,2.887631360000000000e+08,4.784990234375000000e+04,5.139291015625000000e+04
6.243318359375000000e+04,2.451907584000000000e+09,2.288431200000000000e+08,5.166948437500000000e+04,5.209700781250000000e+04
5.663056250000000000e+04,1.132360064000000000e+09,1.928641120000000000e+08,5.636297265625000000e+04,5.391019921875000000e+04
4.960634375000000000e+04,5.815817600000000000e+08,1.718515200000000000e+08,6.031428125000000000e+04,5.591446484375000000e+04
4.301288281250000000e+04,3.302963840000000000e+08,1.598358720000000000e+08,6.524011328125000000e+04,6.031737500000000000e+04
3.693328906250000000e+04,2.075960800000000000e+08,1.543571200000000000e+08,7.191160156250000000e+04,6.907146875000000000e+04
3.144108007812500000e+04,1.445410720000000000e+08,1.528848960000000000e+08,7.873938281250000000e+04,7.919296875000000000e+04
2.685229882812500000e+04,1.097712800000000000e+08,1.530110240000000000e+08,8.347657812500000000e+04,8.762456250000000000e+04
2.329512109375000000e+04,8.861539200000000000e+07,1.535450080000000000e+08,8.683795312500000000e+04,9.398242187500000000e+04
2.045032031250000000e+04,7.377335200000000000e+07,1.540045760000000000e+08,9.060131250000000000e+04,1.018527734375000000e+05
1.836827539062500000e+04,6.357270400000000000e+07,1.530635200000000000e+08,9.418176562500000000e+04,1.117177500000000000e+05
